ngpus,numa_nodes,access_size(bytes),read_latency(ms),read_bw(gib/s),write_latency(ms),write_bw(gib/s)
2,"0",134217728,2.42043,51.6493,2.43006,51.4642
2,"0",268435456,4.83257,51.733,4.85249,51.5209
2,"0",536870912,9.66002,51.7598,9.75241,51.2701
2,"0",1073741824,19.3153,51.7725,19.5027,51.2753
2,"0",2147483648,38.6189,51.7882,39.0742,51.1847
2,"0,1",4096,0.00547808,0.703627,0.00532208,0.726536
2,"0,1",8192,0.00572112,1.36285,0.00492656,1.57567
2,"0,1",16384,0.00600064,2.59498,0.00483696,3.19965
2,"0,1",32768,0.00706496,4.37276,0.00513072,6.07533
2,"0,1",65536,0.00802208,7.73418,0.00528944,11.6734
2,"0,1",131072,0.0101323,12.1861,0.0064104,19.1841
2,"0,1",262144,0.0170165,14.8087,0.00892832,27.5407
2,"0,1",524288,0.0294386,16.7414,0.0137058,35.9207
2,"0,1",1048576,0.0463341,21.5854,0.0242235,40.5319
2,"0,1",2097152,0.0736245,26.8662,0.0437234,44.8837
2,"0,1",4194304,0.0957939,41.1161,0.0807293,48.4534
2,"0,1",8388608,0.161963,48.5817,0.157179,49.7749
2,"0,1",16777216,0.308664,50.7427,0.310167,50.6292
2,"0,1",33554432,0.611806,51.1929,0.611391,51.166
2,"0,1",67108864,1.21329,51.5231,1.21717,51.3819
2,"0,1",134217728,2.42118,51.6366,2.42563,51.5368
2,"0,1",268435456,4.83361,51.7218,4.84644,51.5858
2,"0,1",536870912,9.66055,51.757,9.69428,51.577
2,"0,1",1073741824,19.3174,51.7671,19.4267,51.4756
2,"0,1",2147483648,38.6186,51.7885,38.8409,51.4923
2,"3",4096,0.00585392,0.662888,0.0058952,0.654016
2,"3",8192,0.00599168,1.29797,0.00532128,1.45553
2,"3",16384,0.00629648,2.4616,0.0057816,2.66551
2,"3",32768,0.00714112,4.33298,0.00538608,5.775
2,"3",65536,0.008996,6.8461,0.00598336,10.2739
2,"3",131072,0.010699,11.5299,0.00706576,17.427
2,"3",262144,0.0155413,16.0558,0.00920944,26.6498
2,"3",524288,0.0303598,16.5985,0.0140606,34.935
2,"3",1048576,0.0482272,20.6308,0.0245762,39.9625
2,"3",2097152,0.0631283,31.3444,0.0434864,45.0941
2,"3",4194304,0.107397,36.7213,0.0810203,48.2812
2,"3",8388608,0.23405,33.4123,0.1568,49.8584
2,"3",16777216,0.576102,27.1223,0.307524,50.8103
2,"3",33554432,1.20101,26.0198,0.626011,49.9212
2,"3",67108864,2.43758,25.6403,2.03585,30.7063
2,"3",134217728,4.92553,25.3782,5.50965,22.6951
2,"3",268435456,9.42472,26.5264,12.4275,20.1381
2,"3",536870912,19.7997,25.2532,27.083,18.4875
2,"3",1073741824,39.9802,25.0126,53.7296,18.7064
2,"3",2147483648,80.4293,24.8667,109.955,18.2391
2,"0,3",4096,0.00560688,0.696869,0.00492896,0.787676
2,"0,3",8192,0.00584304,1.33351,0.00497216,1.55325
2,"0,3",16384,0.00669712,2.32463,0.0050624,3.05203
2,"0,3",32768,0.00671408,4.62124,0.00471376,6.55507
2,"0,3",65536,0.0083192,7.46122,0.00542032,11.3636
2,"0,3",131072,0.0152698,8.05498,0.0082304,14.9991
2,"0,3",262144,0.0203642,12.2139,0.0089792,27.3679
2,"0,3",524288,0.0315806,15.8007,0.0138141,35.5814
2,"0,3",1048576,0.0487104,20.5168,0.0242269,40.5208
2,"0,3",2097152,0.0681149,29.0595,0.0431259,45.4424
2,"0,3",4194304,0.125699,31.7944,0.082204,47.7161
2,"0,3",8388608,0.163854,47.9829,0.158161,49.5195
2,"0,3",16777216,0.308808,50.6847,0.309945,50.6086
2,"0,3",33554432,0.613671,51.0657,0.613329,51.0568
2,"0,3",67108864,1.22556,51.0354,1.22702,50.9449
2,"0,3",134217728,2.4557,50.9063,2.83396,44.1178
2,"0,3",268435456,5.00602,49.9418,6.54512,38.1984
2,"0,3",536870912,9.98608,50.0701,14.0422,35.6075
2,"0,3",1073741824,20.1094,49.7282,28.9948,34.4922
2,"0,3",2147483648,40.3528,49.5632,58.0648,34.4475
