ngpus,numa_nodes,numa_weight,access_size(bytes),read_latency(ms),read_bw(gib/s),write_latency(ms),write_bw(gib/s)
2,"0,3","1,3",8192,0.00590112,1.31912,0.00561408,1.37885
2,"0,3","1,3",16384,0.0064472,2.40105,0.00514864,3.0011
2,"0,3","1,3",32768,0.00748064,4.13151,0.00551328,5.64298
2,"0,3","1,3",65536,0.00866672,7.20778,0.00549568,11.204
2,"0,3","1,3",131072,0.0104398,11.9546,0.00691792,17.7617
2,"0,3","1,3",262144,0.015487,15.9377,0.00912272,27.0006
2,"0,3","1,3",524288,0.0278582,18.033,0.0138696,35.3749
2,"0,3","1,3",1048576,0.18011,5.43113,0.0298663,34.3981
2,"0,3","1,3",2097152,0.0658806,30.1201,0.043555,45.0596
2,"0,3","1,3",4194304,0.102199,38.6164,0.0809504,48.3088
2,"0,3","1,3",8388608,0.204426,38.2873,0.156548,49.9522
2,"0,3","1,3",16777216,0.437809,35.6902,0.308643,50.7131
2,"0,3","1,3",33554432,0.906713,34.4654,0.612965,51.0375
2,"0,3","1,3",67108864,1.8268,34.2223,1.49121,41.9392
2,"0,3","1,3",134217728,3.68009,33.9678,4.1283,30.2828
2,"0,3","1,3",268435456,7.4874,33.3902,9.70168,25.7739
2,"0,3","1,3",536870912,14.8309,33.7137,20.8295,24.0067
2,"0,3","1,3",1073741824,30.1051,33.2171,42.131,23.7446
2,"0,3","1,3",2147483648,60.4323,33.095,84.3682,23.7192
2,"0,3","1,4",4096,0.00567952,0.684929,0.00530176,0.72893
2,"0,3","1,4",8192,0.00591088,1.31623,0.00531328,1.47019
2,"0,3","1,4",16384,0.00632208,2.45141,0.00563376,2.74704
2,"0,3","1,4",32768,0.00708192,4.36446,0.00557232,5.55455
2,"0,3","1,4",65536,0.00887872,6.95004,0.00563392,10.9414
2,"0,3","1,4",131072,0.0107006,11.705,0.00676704,18.1527
2,"0,3","1,4",262144,0.0184085,13.3415,0.00922128,26.6674
2,"0,3","1,4",524288,0.0314712,15.9752,0.0139651,35.1814
2,"0,3","1,4",1048576,0.0554145,17.8721,0.0241822,40.5898
2,"0,3","1,4",2097152,0.0719578,27.5516,0.0432518,45.4228
2,"0,3","1,4",4194304,0.101481,38.8773,0.080851,48.3648
2,"0,3","1,4",8388608,0.209243,37.435,0.15708,49.8415
2,"0,3","1,4",16777216,0.464711,33.6393,0.308553,50.7178
2,"0,3","1,4",33554432,0.95334,32.7799,0.612548,51.0933
2,"0,3","1,4",67108864,1.95018,32.0498,1.61849,38.6188
2,"0,3","1,4",134217728,3.92958,31.8106,4.40506,28.3799
2,"0,3","1,4",268435456,7.92156,31.5603,10.4038,24.0314
2,"0,3","1,4",536870912,15.866,31.5141,22.0246,22.7057
2,"0,3","1,4",1073741824,32.0695,31.1825,44.9411,22.259
2,"0,3","1,4",2147483648,64.4448,31.0344,89.7956,22.2851
