ngpus,numa_nodes,access_size(bytes),read_latency(ms),read_bw(gib/s),write_latency(ms),write_bw(gib/s)
2,"0,3",8192,0.00557552,1.49531,0.00505184,1.64559
2,"0,3",16384,0.00605344,2.76038,0.00456464,3.6398
2,"0,3",32768,0.00681184,4.85724,0.00498,6.70025
2,"0,3",65536,0.00845088,7.84616,0.005448,12.123
2,"0,3",131072,0.0146246,9.01696,0.0078656,16.8157
2,"0,3",262144,0.0175989,15.1549,0.0087592,30.0772
2,"0,3",524288,0.028521,18.7846,0.0136093,38.8142
2,"0,3",1048576,0.0472253,22.4466,0.0239304,44.1368
2,"0,3",2097152,0.0677989,31.4549,0.0427362,49.3079
2,"0,3",4194304,0.0911619,46.3513,0.0805506,52.1209
2,"0,3",8388608,0.164768,51.342,0.157679,53.3481
2,"0,3",16777216,0.30905,54.4074,0.313236,54.1406
2,"0,3",33554432,0.615687,54.7641,0.611759,54.9141
2,"0,3",67108864,1.23377,54.3978,1.2301,54.6066
2,"0,3",134217728,2.46404,54.4891,2.81707,47.6551
2,"0,3",268435456,4.95173,54.2125,6.52232,41.1599
2,"0,3",536870912,9.98109,53.7899,14.2727,37.6158
2,"0,3",1073741824,20.1642,53.2501,29.0213,37.0019
2,"0,3",2147483648,40.3962,53.1608,58.0869,36.9729
